replicate,BvsS,type,LC3ratio,LC3ratioNorm,LC3I,LC3II,tepsinKD,AP4EKD
1,Basal,WT,1.000000001,1.000,1,0.999999999,1.000,1.000
1,Basal,Control,1.374151585,1.247,0.666236003,0.915509258,0.594,0.961
1,Basal,tepsin,0.860386691,0.801,0.42998398,0.369952494,0.004,1.024
1,Basal,AP4E1,0.531176471,0.481,1.022611311,0.543187066,0.456,0.149
2,Basal,WT,1,1.000,1,0.999999999,1.000,1.000
2,Basal,Control,1.988636364,1.972,1.303571428,2.592329543,0.950,1.212
2,Basal,tepsin,3.015218558,3.246,0.695238095,2.096294804,0.085,1.082
2,Basal,AP4E1,1.958041959,2.036,0.772486772,1.512561511,0.670,0.134
3,Basal,WT,1,1.000,1.000000001,0.999999999,1.000,1.000
3,Basal,Control,1.579557461,1.798,2.106733749,3.327707002,0.941,1.167
3,Basal,tepsin,1.900257488,1.843,1.999406414,3.799386998,0.225,1.021
3,Basal,AP4E1,3.597341458,4.462,0.95096154,3.420933362,0.874,0.293
1,Starved,WT,0.567254465,0.497,0.815774413,0.462751677,0.539,0.672
1,Starved,Control,1.499960939,1.504,0.532920954,0.799360613,0.343,0.694
1,Starved,tepsin,3.43136161,2.989,0.324134367,1.112222221,0.042,1.162
1,Starved,AP4E1,0.773070988,0.701,0.488372093,0.377546296,0.290,0.079
2,Starved,WT,2.121212122,1.980,1.226890756,2.602495541,0.847,1.092
2,Starved,Control,3.078945191,2.981,1.01242895,3.117213243,0.897,1.199
2,Starved,tepsin,4.779942282,5.042,0.886127167,4.235636709,0.082,1.066
2,Starved,AP4E1,2.104287557,1.995,1.27309833,2.678964972,0.672,0.070
3,Starved,WT,2.026164233,1.828,1.321494297,2.677564471,0.663,0.895
3,Starved,Control,2.286330231,2.550,1.907705144,4.361643931,0.572,1.115
3,Starved,tepsin,5.014832913,6.142,0.94107262,4.719321933,0.081,1.126
3,Starved,AP4E1,7.837427967,9.568,0.607197411,4.758865955,0.316,0.353