Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_001_crop.nd2,3,1,5,1,80
,,2,11,2,79
,,3,18,3,79
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_005.nd2,2,1,106,1,58
,,2,112,2,58
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_007.nd2,1,1,67,1,77
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_008.nd2,4,1,20,1,63
,,2,56,2,155
,,3,51,3,115
,,4,41,4,48
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_009.nd2,5,1,14,1,33
,,2,50,2,27
,,3,21,3,58
,,4,23,4,35
,,5,36,5,40
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_011_crop.nd2,3,1,46,1,36
,,2,9,2,45
,,3,11,3,49
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_012.nd2,2,1,61,1,27
,,2,30,2,53
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_014.nd2,4,1,17,1,44
,,2,9,2,56
,,3,28,3,55
,,4,37,4,44
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_015_crop.nd2,2,1,16,1,30
,,2,9,2,31
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_016.nd2,5,1,8,1,43
,,2,25,2,69
,,3,12,3,35
,,4,23,4,32
,,5,33,5,60
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_017_crop.nd2,2,1,8,1,20
,,2,10,2,31
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_019.nd2,2,1,31,1,41
,,2,10,2,41
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_001.nd2,2,1,14,1,28
,,2,4,2,23
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_002.nd2,2,1,33,1,50
,,2,19,2,97
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_004_crop.nd2,4,1,15,1,28
,,2,19,2,35
,,3,7,3,49
,,4,19,4,59
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_006.nd2,4,1,21,1,54
,,2,10,2,41
,,3,8,3,33
,,4,20,4,37
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_009.nd2,4,1,17,1,35
,,2,32,2,38
,,3,157,3,57
,,4,58,4,43
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_010_crop.nd2,4,1,15,1,31
,,2,6,2,18
,,3,23,3,55
,,4,7,4,52
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_011.nd2,4,1,17,1,35
,,2,23,2,48
,,3,18,3,30
,,4,26,4,12
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_012.nd2,3,1,29,1,59
,,2,4,2,58
,,3,36,3,39
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_013.nd2,4,1,29,1,30
,,2,48,2,25
,,3,40,3,16
,,4,134,4,76
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_014.nd2,2,1,20,1,21
,,2,15,2,22
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_Control-A_NSW3010_LC3-488_LAMP-594_basal_60X_016_crop.nd2,2,1,41,1,53
,,2,27,2,90
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_002.nd2,4,1,23,1,33
,,2,14,2,39
,,3,19,3,75
,,4,20,4,39
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_003.nd2,5,1,5,1,27
,,2,15,2,31
,,3,21,3,42
,,4,63,4,90
,,5,31,5,46
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_005.nd2,2,1,19,1,93
,,2,11,2,60
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_006.nd2,3,1,23,1,49
,,2,42,2,43
,,3,53,3,78
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_007.nd2,3,1,71,1,69
,,2,65,2,77
,,3,57,3,64
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_008.nd2,3,1,44,1,52
,,2,73,2,74
,,3,165,3,99
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_010.nd2,2,1,67,1,38
,,2,50,2,44
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_011.nd2,3,1,84,1,66
,,2,56,2,57
,,3,53,3,54
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_012_crop.nd2,2,1,35,1,108
,,2,55,2,90
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_013_crop_crop.nd2,1,1,45,1,39
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_014.nd2,4,1,26,1,32
,,2,69,2,85
,,3,28,3,57
,,4,73,4,47
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_tepsin-A_NSW3010_LC3-488_LAMP-594_basal_60X_015.nd2,3,1,17,1,52
,,2,66,2,75
,,3,82,3,33
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_002_crop.nd2,2,1,12,1,26
,,2,14,2,40
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_003.nd2,2,1,25,1,69
,,2,40,2,83
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_004_crop.nd2,3,1,67,1,75
,,2,19,2,56
,,3,46,3,72
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_005.nd2,2,1,103,1,235
,,2,68,2,162
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_006.nd2,6,1,8,1,23
,,2,32,2,26
,,3,18,3,42
,,4,25,4,67
,,5,20,5,22
,,6,34,6,95
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_007_crop.nd2,2,1,20,1,45
,,2,19,2,70
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_008.nd2,4,1,13,1,36
,,2,11,2,26
,,3,27,3,45
,,4,38,4,41
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_012.nd2,3,1,56,1,100
,,2,44,2,65
,,3,28,3,61
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_014.nd2,4,1,42,1,88
,,2,40,2,111
,,3,15,3,76
,,4,31,4,86
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_015.nd2,4,1,25,1,51
,,2,29,2,45
,,3,22,3,63
,,4,43,4,59
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_016_crop.nd2,2,1,29,1,62
,,2,51,2,127
LC3-puncta_LAMP1_batch-seg_24Feb21_010b_000_WT-A_NSW3010_LC3-488_LAMP-594_basal_60X_019.nd2,2,1,32,1,61
,,2,38,2,55
